acc_y,acc_z,acc_dy,acc_dz,spd,pothole,date
0.059799,0.01387,-0.01062,-0.056549,12.29,0,1595201051528
0.069733,-0.002975,0.009934,-0.062774,12.29,0,1595201051693
0.079514,0.023636,0.009781,-0.046097,12.29,0,1595201051796
0.072037,-0.022964,-0.007477,-0.102478,12.29,0,1595201051906
0.07547,0.003616,0.003433,-0.068421,12.29,0,1595201052009
0.07692,-0.012314,0.00145,-0.087784,12.29,0,1595201052111
0.078903,-0.002823,0.001983,-0.079743,12.29,0,1595201052214
0.065277,0.021423,-0.013626,-0.05748,12.29,0,1595201052317
0.081329,0.000229,0.016052,-0.065048,12.29,0,1595201052419
0.092773,-0.035202,0.011444,-0.116531,12.29,0,1595201052513
0.058487,-0.009766,-0.034286,-0.102539,12.29,0,1595201052638
0.048874,0.052689,-0.009613,-0.005798,12.29,0,1595201052725
0.065216,0.027878,0.016342,-0.020996,12.29,0,1595201052828
0.108841,0.009308,0.043625,-0.055908,12.29,0,1595201052948
0.088562,-0.021698,-0.020279,-0.130539,12.29,0,1595201053033
0.076813,-0.010803,-0.011749,-0.099365,12.78,0,1595201053163
0.044479,-0.025543,-0.032334,-0.102356,12.78,0,1595201053258
0.087051,-0.013641,0.042572,-0.05812,12.78,0,1595201053355
0.048004,-0.018631,-0.039047,-0.105682,12.78,0,1595201053457
0.078644,0.002869,0.03064,-0.045135,12.78,0,1595201053565
0.051376,0.011856,-0.027268,-0.066788,12.78,0,1595201053686
0.071655,-0.005829,0.020279,-0.057205,12.78,0,1595201053766
0.06543,-0.007217,-0.006225,-0.078872,12.78,0,1595201053955
0.081894,0.091736,0.016464,0.026306,12.78,0,1595201053986
0.069214,0.004837,-0.01268,-0.077057,12.78,0,1595201054089
0.035797,0.062286,-0.033417,-0.006928,12.78,0,1595201054252
0.034714,0.020996,-0.001083,-0.014801,12.78,0,1595201054363
0.079849,-0.161331,0.045135,-0.196045,12.78,0,1595201054680
0.065063,-0.008011,-0.014786,-0.08786,12.78,0,1595201054680
0.032074,0.131119,-0.032989,0.066056,12.78,0,1595201054693
0.051285,-0.121857,0.019211,-0.153931,12.78,0,1595201054876
0.045715,-0.087585,-0.00557,-0.13887,12.78,1,1595201054876
0.03688,0.008209,-0.008835,-0.037506,12.78,1,1595201054979
0.028778,-0.027008,-0.008102,-0.063888,12.78,0,1595201055081
0.06424,-0.006485,0.035462,-0.035263,12.78,0,1595201055183
0.067795,0.027344,0.003555,-0.036896,12.78,0,1595201055307
0.090927,0.000885,0.023132,-0.06691,12.78,0,1595201055388
0.067093,-0.085724,-0.023834,-0.176651,12.78,0,1595201055491
0.05011,-0.060913,-0.016983,-0.128006,12.78,0,1595201055593
0.009964,-0.01358,-0.040146,-0.06369,12.78,0,1595201055708
0.010284,0.074493,0.00032,0.064529,12.78,0,1595201055798
0.020096,-0.001114,0.009812,-0.011398,12.78,0,1595201055907
0.002243,0.013443,-0.017853,-0.006653,12.78,0,1595201056018
0.007782,-0.048996,0.005539,-0.051239,12.78,0,1595201056241
0.0298,-0.082642,0.022018,-0.090424,12.78,0,1595201056241
0.000931,-0.010452,-0.028869,-0.040252,12.78,0,1595201056392
0.022263,0.050613,0.021332,0.049682,12.78,0,1595201056445
0.053207,0.100128,0.030944,0.077865,12.78,0,1595201056653
0.026337,0.028229,-0.02687,-0.024978,12.78,0,1595201056653
0.037094,-0.001953,0.010757,-0.02829,12.78,0,1595201056735
0.008087,-0.019302,-0.029007,-0.056396,12.78,0,1595201056857
0.026718,0.028183,0.018631,0.020096,12.78,0,1595201057128
-0.000076,0.014023,-0.026794,-0.012695,12.78,0,1595201057128
0.022949,-0.048996,0.023025,-0.04892,12.78,0,1595201057258
0.025101,0.00676,0.002152,-0.016189,12.78,0,1595201057332
0.023544,-0.00705,-0.001557,-0.032151,12.78,0,1595201057529
-0.011154,-0.050507,-0.034698,-0.074051,12.78,0,1595201057545
-0.004959,0.084702,0.006195,0.095856,12.78,0,1595201057674
-0.002579,-0.025238,0.00238,-0.020279,12.78,0,1595201057747
0.005157,0.014053,0.007736,0.016632,12.78,0,1595201057918
0.018814,0.063644,0.013657,0.058487,12.78,0,1595201057946
-0.025497,0.049683,-0.044311,0.030869,12.78,0,1595201058006
0.013977,-0.044373,0.039474,-0.018876,12.17,0,1595201058358
0.00206,0.013962,-0.011917,-0.000015,12.17,0,1595201058358
0.005005,-0.004654,0.002945,-0.006714,12.17,0,1595201058383
0.005295,-0.010117,0.00029,-0.015122,12.17,0,1595201058489
0.01123,-0.028671,0.005935,-0.033966,12.17,0,1595201058587
0.01297,0.020187,0.00174,0.008957,12.17,0,1595201058780
-0.006516,0.049759,-0.019486,0.036789,12.17,0,1595201058793
0.014175,0.021179,0.020691,0.027695,12.17,0,1595201058991
0.021545,-0.025238,0.00737,-0.039413,12.17,0,1595201059065
0.007339,0.036926,-0.014206,0.015381,12.17,0,1595201059106
0.000565,0.046082,-0.006774,0.038743,12.17,0,1595201059278
0.017822,0.011688,0.017257,0.011123,12.17,0,1595201059382
0.009476,0.055618,-0.008346,0.037796,12.17,0,1595201059408
0.021561,0.02919,0.012085,0.019714,12.17,0,1595201059586
0.007156,0.004288,-0.014405,-0.017273,12.17,0,1595201059701
0.007202,0.028885,0.000046,0.021729,12.17,0,1595201059782
0.026474,-0.019989,0.019272,-0.027191,12.17,0,1595201059845
0.003433,0.048599,-0.023041,0.022125,12.17,0,1595201059995
0.010513,0.045074,0.00708,0.041641,12.17,0,1595201060201
0.008957,0.025436,-0.001556,0.014923,12.17,0,1595201060201
0.019547,-0.024857,0.01059,-0.033814,12.17,0,1595201060329
0.023941,0.018768,0.004394,-0.000779,12.17,0,1595201060523
0.004105,-0.031555,-0.019836,-0.055496,12.17,0,1595201060538
-0.012512,0.016403,-0.016617,0.012298,12.17,0,1595201060814
0.010284,-0.037552,0.022796,-0.02504,12.17,0,1595201060814
0.003906,0.016922,-0.006378,0.006638,12.17,0,1595201060943
0.013489,0.010513,0.009583,0.006607,12.17,0,1595201060943
0.019333,0.003189,0.005844,-0.0103,12.17,0,1595201061016
0.026855,0.037079,0.007522,0.017746,12.17,0,1595201061223
0.0383,0.022568,0.011445,-0.004287,12.17,0,1595201061256
0.043488,-0.008652,0.005188,-0.046952,12.17,0,1595201061411
0.032211,0.003342,-0.011277,-0.040146,12.17,0,1595201061445
0.026291,0.014709,-0.00592,-0.017502,12.17,0,1595201061565
0.033401,0.019089,0.00711,-0.007202,12.17,0,1595201061838
0.030334,0.005127,-0.003067,-0.028274,12.17,0,1595201061838
0.045166,0.014252,0.014832,-0.016082,12.17,0,1595201062043
0.056305,0.0466,0.011139,0.001434,12.17,0,1595201062043
0.078827,-0.003586,0.022522,-0.059891,12.17,0,1595201062076
0.074738,-0.005096,-0.004089,-0.083923,12.17,0,1595201062237
0.076401,0.007385,0.001663,-0.067353,12.17,0,1595201062285
0.08815,-0.008698,0.011749,-0.085099,12.17,0,1595201062458
0.078094,0.069656,-0.010056,-0.018494,12.17,0,1595201062649
0.148041,0.016068,0.069947,-0.062026,12.17,0,1595201062649
0.12973,0.021637,-0.018311,-0.126404,12.17,0,1595201062773
0.167679,0.036484,0.037949,-0.093246,12.17,0,1595201063068
0.159317,0.002518,-0.008362,-0.165161,12.17,0,1595201063068
0.181763,-0.022034,0.022446,-0.181351,12.17,0,1595201063272
0.217484,-0.001617,0.035721,-0.18338,12.17,0,1595201063272
0.213287,0.055313,-0.004197,-0.162171,11.14,0,1595201063287
0.218491,0.056778,0.005204,-0.156509,11.14,0,1595201063387
0.236206,0.013626,0.017715,-0.204865,11.14,0,1595201063467
0.233459,-0.008926,-0.002747,-0.245132,11.14,0,1595201063555
0.26593,0.038284,0.032471,-0.195175,11.14,0,1595201063697
